Metric,Mean,std
AUC (Judd),0.8638866658505354,0.06705327920542678
NSS,0.6131400914483955,0.2095960502383781
InfoGain,3.17452338288884,0.8284555340098296
SIM,0.5673055435193491,0.038712822820953244
CC,0.6628561376054957,0.09106749454533825
KLDiv,4.89980107418157,1.1136988878307523
