| EPOCH: 3 | Step 400 | Current loss: 502.8577 | Average patch-loss: 0.9474 |
| EPOCH: 3 | Step 450 | Current loss: 569.7375 | Average patch-loss: 0.8330 |
| EPOCH: 3 | Step 500 | Current loss: 825.0220 | Average patch-loss: 0.9932 |
| EPOCH: 3 | Step 550 | Current loss: 620.1125 | Average patch-loss: 0.9732 |
| EPOCH: 3 | Step 600 | Current loss: 374.8286 | Average patch-loss: 0.8273 |
| EPOCH: 3 | Step 650 | Current loss: 547.9988 | Average patch-loss: 0.9459 |
| EPOCH: 3 | Step 700 | Current loss: 1820.2462 | Average patch-loss: 0.8306 |
| EPOCH: 3 | Step 750 | Current loss: 750.9329 | Average patch-loss: 0.9021 |
| EPOCH: 3 | Step 800 | Current loss: 804.8975 | Average patch-loss: 0.8882 |
| EPOCH: 3 | Step 850 | Current loss: 1097.1295 | Average patch-loss: 0.8404 |
| EPOCH: 3 | Step 900 | Current loss: 1096.8442 | Average patch-loss: 0.7683 |
| EPOCH: 3 | Step 950 | Current loss: 855.4138 | Average patch-loss: 0.8407 |
| EPOCH: 3 | Step 1000 | Current loss: 920.0140 | Average patch-loss: 0.9236 |
| EPOCH: 3 | Step 1050 | Current loss: 1718.5665 | Average patch-loss: 1.0796 |
| EPOCH: 3 | Step 1100 | Current loss: 701.8796 | Average patch-loss: 0.9345 |
| EPOCH: 3 | Step 1150 | Current loss: 950.5883 | Average patch-loss: 1.1277 |
| EPOCH: 3 | Step 1200 | Current loss: 652.3528 | Average patch-loss: 0.9313 |
| EPOCH: 3 | Step 1250 | Current loss: 372.5406 | Average patch-loss: 0.9295 |
| EPOCH: 3 | Step 1300 | Current loss: 520.1382 | Average patch-loss: 0.9938 |
| EPOCH: 3 | Step 1350 | Current loss: 439.7420 | Average patch-loss: 0.7239 |
| EPOCH: 3 | Step 1400 | Current loss: 619.3628 | Average patch-loss: 0.8638 |
| EPOCH: 3 | Step 1450 | Current loss: 502.8477 | Average patch-loss: 0.7823 |
| EPOCH: 3 | Step 1500 | Current loss: 1203.9508 | Average patch-loss: 0.8897 |
| EPOCH: 3 | Step 1550 | Current loss: 678.2621 | Average patch-loss: 0.7025 |
1.0003601175864851 0.920350958806957 0.9006711499783921
1.034958785072808 1.0177558848338297 0.9945923556874579
| EPOCH: 4 | Step 50 | Current loss: 602.4272 | Average patch-loss: 0.7951 |
| EPOCH: 4 | Step 100 | Current loss: 668.0974 | Average patch-loss: 0.9073 |
| EPOCH: 4 | Step 150 | Current loss: 347.7605 | Average patch-loss: 0.8630 |
| EPOCH: 4 | Step 200 | Current loss: 720.0187 | Average patch-loss: 0.9498 |
| EPOCH: 4 | Step 250 | Current loss: 1129.4667 | Average patch-loss: 0.9769 |
| EPOCH: 4 | Step 300 | Current loss: 811.3336 | Average patch-loss: 0.9348 |
| EPOCH: 4 | Step 350 | Current loss: 348.5888 | Average patch-loss: 0.7152 |
| EPOCH: 4 | Step 400 | Current loss: 480.3566 | Average patch-loss: 0.9251 |
| EPOCH: 4 | Step 450 | Current loss: 567.4836 | Average patch-loss: 0.8215 |
| EPOCH: 4 | Step 500 | Current loss: 812.4656 | Average patch-loss: 0.9690 |
| EPOCH: 4 | Step 550 | Current loss: 582.9983 | Average patch-loss: 0.9519 |
| EPOCH: 4 | Step 600 | Current loss: 368.7263 | Average patch-loss: 0.8187 |
| EPOCH: 4 | Step 650 | Current loss: 563.5867 | Average patch-loss: 0.9347 |
| EPOCH: 4 | Step 700 | Current loss: 1803.4291 | Average patch-loss: 0.8128 |
| EPOCH: 4 | Step 750 | Current loss: 687.1561 | Average patch-loss: 0.8615 |
| EPOCH: 4 | Step 800 | Current loss: 796.8481 | Average patch-loss: 0.8782 |
| EPOCH: 4 | Step 850 | Current loss: 1030.3790 | Average patch-loss: 0.8203 |
| EPOCH: 4 | Step 900 | Current loss: 1050.0142 | Average patch-loss: 0.7544 |
